,filename,Nodes,class
136,/zookeeper-contrib/zookeeper-contrib-loggraph/src/main/java/org/apache/zookeeper/graph/Log4JSource.java,"[MethodDeclaration, IfStmt, MethodCallExpr, MethodCallExpr, IfStmt, BinaryExpr, ReturnStmt, BinaryExpr, VariableDeclarationExpr, MethodCallExpr, IfStmt, MethodCallExpr, MethodCallExpr, VariableDeclarationExpr, VariableDeclarationExpr, MethodCallExpr, MethodCallExpr, AssignExpr, VariableDeclarationExpr, BinaryExpr, WhileStmt, BinaryExpr, IfStmt, MethodCallExpr, IfStmt, BinaryExpr, BreakStmt, UnaryExpr, MethodCallExpr, AssignExpr, IfStmt, MethodCallExpr, MethodCallExpr, ReturnStmt, NameExpr] [size, IOException, endtime, src, getEndTime, src, size, skippedAtStart, pos, in, getPosition, LogEntry, e, LogSkipList, Mark, lastseg, src, getSkipList, findMarkBefore, endtime, in, seek, lastseg, getBytes, clear, the, buf, so, we, don, t, get, something, we, read, before, we, sought, buf, number, of, entries, skipped, to, get, to, the, end, of, the, iterator, less, the, number, skipped, to, get, to, the, start, count, lastseg, getEntriesSkipped, skippedAtStart, e, readNextEntry, e, getTimestamp, endtime, count, in, seek, pos, buf, count]",2
140,/zookeeper-contrib/zookeeper-contrib-loggraph/src/main/java/org/apache/zookeeper/graph/Log4JSource.java,"[MethodDeclaration, TryStmt, TryStmt, WhileStmt, BooleanLiteralExpr, VariableDeclarationExpr, MethodCallExpr, IfStmt, BinaryExpr, BreakStmt, VariableDeclarationExpr, MethodCallExpr, IfStmt, MethodCallExpr, IfStmt, BinaryExpr, VariableDeclarationExpr, ObjectCreationExpr, AssignExpr, ReturnStmt, NameExpr, AssignExpr, ElseStmt, IfStmt, BinaryExpr, AssignExpr, IfStmt, BinaryExpr, VariableDeclarationExpr, ObjectCreationExpr, AssignExpr, ReturnStmt, NameExpr, ReturnStmt, NullLiteralExpr] [LogEntry, readNextEntry, String, line, in, readLine, line, Matcher, m, src, timep, matcher, line, m, lookingAt, buf, length, LogEntry, e, JEntry, src, timestampFromText, dateformat, buf, src, getServerId, buf, buf, line, e, buf, line, buf, length, buf, line, n, EOFException, eof, ignore, we, ve, simply, come, to, the, end, of, the, file, buf, length, LogEntry, e, JEntry, src, timestampFromText, dateformat, buf, src, getServerId, buf, buf, e, Exception, e]",1
141,/zookeeper-contrib/zookeeper-contrib-loggraph/src/main/java/org/apache/zookeeper/graph/Log4JSource.java,"[TryStmt, WhileStmt, BooleanLiteralExpr, VariableDeclarationExpr, MethodCallExpr, IfStmt, BinaryExpr, BreakStmt, VariableDeclarationExpr, MethodCallExpr, IfStmt, MethodCallExpr, IfStmt, BinaryExpr, VariableDeclarationExpr, ObjectCreationExpr, AssignExpr, ReturnStmt, NameExpr, AssignExpr, ElseStmt, IfStmt, BinaryExpr, AssignExpr, IfStmt, BinaryExpr, VariableDeclarationExpr, ObjectCreationExpr, AssignExpr, ReturnStmt, NameExpr] [String, line, in, readLine, line, Matcher, m, src, timep, matcher, line, m, lookingAt, buf, length, LogEntry, e, JEntry, src, timestampFromText, dateformat, buf, src, getServerId, buf, buf, line, e, buf, line, buf, length, buf, line, n, EOFException, eof, ignore, we, ve, simply, come, to, the, end, of, the, file, buf, length, LogEntry, e, JEntry, src, timestampFromText, dateformat, buf, src, getServerId, buf, buf, e, Exception, e]",1
194,/zookeeper-contrib/zookeeper-contrib-loggraph/src/main/java/org/apache/zookeeper/graph/LogSkipList.java,"[MethodDeclaration, IfStmt, MethodCallExpr, MethodCallExpr, MethodCallExpr] [addMark, time, bytes, skipped, marks, add, Mark, time, bytes, skipped]",3
195,/zookeeper-contrib/zookeeper-contrib-loggraph/src/main/java/org/apache/zookeeper/graph/LogSkipList.java,"[MethodDeclaration, IfStmt, MethodCallExpr, MethodCallExpr, VariableDeclarationExpr, MethodCallExpr, ForEachStmt, IfStmt, BinaryExpr, BreakStmt, AssignExpr, IfStmt, MethodCallExpr, MethodCallExpr, ReturnStmt, NameExpr] [Find, the, last, mark, in, the, skip, list, before, time, Mark, findMarkBefore, time, NoSuchElementException, Mark, last, marks, getFirst, Mark, m, marks, m, getTime, time, last, m, last]",2
244,/zookeeper-contrib/zookeeper-contrib-loggraph/src/main/java/org/apache/zookeeper/graph/RandomAccessFileReader.java,"[MethodCallExpr, TryStmt, MethodCallExpr] [IOException, ioe]",4
245,/zookeeper-contrib/zookeeper-contrib-loggraph/src/main/java/org/apache/zookeeper/graph/RandomAccessFileReader.java,"[MethodCallExpr] [IOException, ioe]",5
246,/zookeeper-contrib/zookeeper-contrib-loggraph/src/main/java/org/apache/zookeeper/graph/RandomAccessFileReader.java,"[MethodDeclaration, AssignExpr, VariableDeclarationExpr, MethodCallExpr, IfStmt, MethodCallExpr, VariableDeclarationExpr, ObjectCreationExpr, MethodCallExpr, IfStmt, BinaryExpr, AssignExpr, ElseStmt, AssignExpr, AssignExpr, AssignExpr, ReturnStmt, NameExpr] [fill, the, buffer, from, the, file, fp, keeps, track, of, the, file, pointer, fileoffset, is, the, offset, into, the, file, to, where, the, buffer, came, from, fill, IOException, fileoffset, fp, read, file, read, buffer, buffer, length, String, buf, String, buffer, UTF, read, eof, reached, buffersize, buffersize, read, fp, buffersize, bufferoffset, buffersize]",1
247,/zookeeper-contrib/zookeeper-contrib-loggraph/src/main/java/org/apache/zookeeper/graph/RandomAccessFileReader.java,"[MethodCallExpr, VariableDeclarationExpr, ObjectCreationExpr, MethodCallExpr] [String, buf, String, buffer, UTF]",4
253,/zookeeper-contrib/zookeeper-contrib-loggraph/src/main/java/org/apache/zookeeper/graph/RandomAccessFileReader.java,"[MethodDeclaration, IfStmt, MethodCallExpr, MethodCallExpr, VariableDeclarationExpr, IntegerLiteralExpr, WhileStmt, BinaryExpr, IfStmt, BinaryExpr, MethodCallExpr, IfStmt, BinaryExpr, BreakStmt, VariableDeclarationExpr, MethodCallExpr, IfStmt, MethodCallExpr, MethodCallExpr, MethodCallExpr, AssignExpr, AssignExpr, AssignExpr, AssignExpr, AssignExpr, IfStmt, MethodCallExpr, MethodCallExpr, ReturnStmt, NameExpr] [read, buf, off, len, IOException, read, len, buffersize, fill, buffersize, tocopy, Math, min, len, buffersize, System, arraycopy, buffer, bufferoffset, buf, off, tocopy, buffersize, tocopy, bufferoffset, tocopy, len, tocopy, read, tocopy, off, tocopy, read]",2
